primary_key,first_name,last_name,birthday,email,home,mobile,street_1,street_2,city,state,zip,user_id
23,Roxann,Hill,"June 2, 1995",Roxann@example.com,(548) 547-2140,(305) 820-2873,719 S. Meadow Rd,apt. 21F,Plainfield,NJ,07062,23
24,Helen,Allen,"May 18, 1997",Helen@example.com,(910) 846-3846,(917) 322-6292,41 S. Brown St,2nd Floor,Plainfield,NJ,07063,24
25,Melissa,Miller,"August 7, 1999",Melissa@example.com,(543) 470-9233,(635) 800-7666,857 Fulton Ave. ,apt. 23,Plainfield,NJ,07060,25
26,Juliet,Mitchell,"September 1, 2001",Juliet@example.com,(351) 529-1180,(495) 853-7570,241 Purple Finch St,apt. 7E,Plainfield,NJ,07061,26
27,Wanda,Young,"November 28, 2002",Wanda@example.com,(881) 205-0474,(431) 633-1062,690 High Ridge Ave.,1st Floor,Plainfield,NJ,07062,27
28,Ruth,Martin,"August 22, 2003",Ruth@example.com,(565) 697-9030,(894) 335-6559,460 Indian Summer Road,apt. 54K,Plainfield,NJ,07063,28
29,Terrance,Lee,"January 11, 2004",Terrance@example.com,(282) 925-5174,(676) 826-1719,948 Saxon Lane,apt. 27L,Plainfield,NJ,07060,29
30,Michael,Clark,"November 9, 2004",Michael@example.com,(414) 416-7603,(818) 374-8203,3 Fairfield Street,apt. 28A,Plainfield,NJ,07061,30
31,Vanessa,King,"October 20, 2005",Vanessa@example.com,(633) 497-0531,(618) 641-6200,74 Front Ave.,,Plainfield,NJ,07062,31
32,Corey,Edwards,"November 14, 2006",Corey@example.com,(605) 281-3361,(405) 293-8092,711 St Margarets Street,2nd Floor,Plainfield,NJ,07063,32
33,Sharonda,Turner,"August 4, 2007",Sharonda@example.com,(736) 657-6417,(526) 796-1879,526 E. Arrowhead St.,apt. 31R,Plainfield,NJ,07060,33
34,Tyra,James,"February 21, 2009",Tyra@example.com,(294) 761-7508,(978) 349-6945,5 Snowflake St.,apt. 2B,Plainfield,NJ,07061,34
35,Ivory,Boyd,"June 2, 2009",Ivory@example.com,(990) 705-2198,(844) 937-8527,420 East Vista Road ,apt. 33F,Plainfield,NJ,07062,35
36,Aisa,Gordon,"March 5, 2010",Aisa@example.com,(694) 418-8576,(662) 428-8901,62 North Amerige Dr.,apt. 34C,Plainfield,NJ,07063,36
37,Keisha,Franklin,"May 13, 2010",Keisha@example.com,(828) 324-9728,(671) 482-7734,224 Thatcher Rd.,apt. 15G,Plainfield,NJ,07060,37
38,Meagan,Hawkins,"August 31, 2010",Meagan@example.com,(741) 498-8269,(986) 216-6666,944 Wild Horse Avenue,1st Floor,Plainfield,NJ,07061,38
39,LaTasha,Sims,"December 20, 2010",LaTasha@example.com,(678) 760-6091,(732) 216-8169,878 E. Fletcher Ave. ,2nd Floor,Plainfield,NJ,07062,39
